City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,10.04,79,85,5.17,CL,1693259797
1,thompson,55.7435,-97.8558,12.09,94,100,2.57,CA,1693259797
2,porto velho,-8.7619,-63.9039,30.03,66,0,1.54,BR,1693259798
3,codrington,-38.2667,141.9667,11.91,77,100,3.72,AU,1693259798
4,blackmans bay,-43.0167,147.3167,10.41,87,76,3.16,AU,1693259799
5,mahibadhoo,3.7833,72.9667,28.13,73,100,6.64,MV,1693259799
6,waitangi,-43.9535,-176.5597,9.34,92,99,4.92,NZ,1693259799
7,saldanha,-33.0117,17.9442,17.03,41,0,6.02,ZA,1693259800
8,kavieng,-2.5744,150.7967,27.69,79,14,5.34,PG,1693259800
9,high rock,26.6208,-78.2833,32.01,68,49,2.27,BS,1693259801
10,qamdo,31.1667,97.2333,2.97,89,98,1.08,CN,1693259801
11,qaqortoq,60.7167,-46.0333,9.32,58,63,0.85,GL,1693259801
12,edinburgh of the seven seas,-37.0676,-12.3116,11.71,68,15,7.3,SH,1693259802
13,atafu village,-8.5421,-172.5159,28.39,75,93,7.35,TK,1693259802
14,kodiak,57.79,-152.4072,12.73,94,100,1.54,US,1693259616
15,aweil,8.7682,27.4002,23.17,82,75,1.18,SS,1693259803
16,bethel,41.3712,-73.414,24.09,78,20,3.6,US,1693259727
17,puerto ayora,-0.7393,-90.3518,27.98,84,65,3.58,EC,1693259803
18,port elizabeth,-33.918,25.5701,16.16,94,2,2.06,ZA,1693259566
19,georgetown,5.4112,100.3354,26.96,92,20,1.03,MY,1693259701
20,sao vicente,-23.9631,-46.3919,19.1,62,75,0.89,BR,1693259804
21,grytviken,-54.2811,-36.5092,-1.8,95,100,1.68,GS,1693259805
22,hamilton,39.1834,-84.5333,28.73,48,0,4.63,US,1693259690
23,port-aux-francais,-49.35,70.2167,3.15,82,59,13.86,TF,1693259806
24,panaba,21.2833,-88.2667,30.24,67,99,7.49,MX,1693259806
25,lluta,-16.0147,-72.0142,13.22,38,0,3.21,PE,1693259807
26,nogliki,51.8333,143.1667,15.14,71,0,3.68,RU,1693259807
27,zonguldak,41.25,31.8333,15.84,86,0,1.81,TR,1693259586
28,papatowai,-46.5619,169.4708,9.5,87,94,4.38,NZ,1693259809
29,olyokminsk,60.3736,120.4264,14.85,80,5,0.76,RU,1693259809
30,adamstown,-25.066,-130.1015,21.59,87,100,12.7,PN,1693259810
31,az zubayr,30.3945,47.7011,30.92,33,0,0.0,IQ,1693259810
